,label,review
50,0,quality test food great also food well coordinated ended paying high family dinner also transparent put advertisement last week put advert buy one get one free mention time frame reach told time
51,0,used love food recently deteriorated badly chicken seem pre cooked reheated flavour vibrant portion decreased go namdo downstairs instead
52,0,negative review place cafe bbq bbq bd gulshan food drink service gelam ek friend er sathe khaite joner e pet motamuti vora cilo bole nilam share platter namer item ta jar price platter includes drink according description pic dawa platter tar ar ta fancy drink er order korar sathe sathe amak jigesh korlo sir drink ki niben bollam ki option ase bollo blue mojito na ki jani ekta aro ta bollo green apple er ekta ami bollam apnader jei ta iccha den eigula moddhe bollo sir blue ta e green apple ta ani bollam anen sudhu platter ta ar ei ta drink amader dilo bolai vaguely platter ta sufficient na joner jonno ar drink gila usual fancy namer sprite minimum kono variety nai bill dawar somoy dekhlam total jeolhan howar kotha ami deke ekjon bollam drink included bollo sir taito asole sorry vul maybe pore arekjon eshe bollo na sir vul nai ami bollam drink included na bola holo na sir drink bolte sudhu sprite included baki ta paid apnak sprite ta ene dibo sir amak er age sprite ta dawa hoinai bola hoinai er kotha misleading information er jonno amar ta rong rong er sprite nite ami bolsi vai ami bill dea disi ekhn sprite dea ki korbo amar kotha na sune tao ene dise ami jigesh korlam amak clearly bola hoinai keno bolle hasi dilo sudhu ekta ami kotha barai nai barpari type misleading info dawa amar thik lage nai
53,1,good food excellent personalized service mr pear ahmed assistant restaurant manager keep great food service
54,0,ordered jamaican chicken rice buy one get one offer rise tasteless chicken dry inside disappointed
55,1,jamaican grill chicken one celestial love one always go back bb q find bit pricy worth
56,0,worst chicken ever decoration mark people intend go taste food standard also price high according quality food
57,1,excellent friend gettogether party food portion enough service vry friendly
58,0,worst service got waiting hour food
59,1,best chicken town must try love juicy chicken
60,1,fantastic food must try korean platter best wish
61,0,worst service ever worst pizza ever price much
62,1,ongoing buy get one free good offer place serf standard korean style chicken item along good stuff highly recommend chicken lover
63,1,love place nice environment people got favorite recommended restaurant
64,1,review service waiter sumit food excellent experience bbq bangladesh gulshan
65,1,great service great food
66,1,food quality ager theke onek baje service thik asche think food quality next time valo hobe bbq gulshan
67,0,flavor overtly expensive chicken better go much cheaper kfc local chicken joint
68,1,good food great service coming year best thing consistent food quality service
69,1,serve best chicken town happy service food
70,0,food bad nd quality nd quantity le
71,1,amazing ambience loved smoking zone food also amazing served due time
72,0,like food menu full page little quality think would go back
74,1,best service
75,1,quality food awesome environment best service
76,0,worst food ever life eat risk
77,1,loved
78,0,worst experience ever would request everyone waste money place
79,0,worst food tried life total waste money
80,1,nice
81,1,awesome
82,1,impressive service food quality keep growing quality
83,1,chicken taste great delicious love chicken item
84,1,excellent food good customer service
88,1,loved food
89,0,tasteless food worst service ever
90,0,grill cold bread dry hard stock stale poor quality food disappointed
91,0,worst food respect taste price ever tried restaurant
92,0,went two day eid ul azha food good specially rice item terrible serving poor overall poor service food
93,0,taste pizza bad
94,1,time may taste bud anyways really enjoyed jamaican grill veg fried rice green apple juice excellent food come friendly service two thumb
95,1,food best standard bangladesh atmostfare polished service excellent
96,1,xoss place good atmosphere personally liked
97,0,food worst though service quite good jamaican grill rice rice tasteless grill good
98,0,taste price much expensive overrated restaurant
99,1,amazing food fantastic interior well behaved waiter thumb
100,0,worst f b service ever experienced today deliver like freezing food even complain repeatedly change deliver freezing food three time totally screwed gulshan outlet
101,1,time always satisfied service small place child play supportive little child
102,1,well something
103,0,iftar platter bad whole food served cold rice hard like hell disappointed iftar platter
104,0,iftari platter disgusting tried yesterday gulshan branch tasteless wasted food
105,0,went today ramadan meal one jamaican grilled chicken family meal absolutely cold jamaican grilled chicken chicken shashlik hard delicious filling meal rather uneatable went several time sort experience knew eat shit would ordered regular menu absolutely cheating
106,1,actually usually write review serious critic level criticism way high honestly like restaurant anything korean bbq jamaican bbq amazing wherever go office friend house matter physically go restaurant order food foodpanda driver reside uttara hope one day open branch food quality
107,1,favourite place best nothing beat mashed potato
108,0,ordered kid meal baby chicken smelling like rotten egg yaak second time happened irresponsible unexpected
109,0,food quality disgusting price oh need bank loan order full meal
110,1,provide delicious food amazing item really good
111,1,jamaican chicken visit time time best town
112,1,great food environment love place much
113,1,taste food environment awesome would love
114,1,one best restaurant city say
115,1,jamaican bbq awesome nice environment thank go bbq
116,1,nice place delicious food
117,1,overall good place quality food go
118,0,went dinner tonight dhanmondi branch food good question manner etiquette waiter waiting guest reserving seat asked rudely guest coming reservation mention half hour passed took seat half reserved seat filled already challenging take reservation earlier called started say wanted seat ppl came ask seat see reservation ppl coming night conservation one waiter said k per day business give damn shit k per day seriously brand like com man poor ordering starter st round order seemed surprised ask u person dish really way behave customer someone order food cost tk tk customer give staff proper lesson manner let serve brand degrading brand value
119,1,bbq gulshan numerous time occasion thoroughly pleased atmosphere nice waiter friendly table clean food delicious without going much detail dish universally recommended pane mushroom soup korean charbroiled chicken whether bbq already would first time disappointed item
120,1,taste mark ambience best kid friendly
121,1,jamaican grilled platter really good
122,1,food great
123,1,bb q easily one restaurant top bracket dhaka due unparalleled taste service ambience provides customer definitely one top go place grab heart quenching meal
124,1,jamaican grilled platter amazing chicken juicy side fresh bbq definitely one best restaurant dhaka undoubtedly dont like probably eat trash lol keep coming back staff super hospitable well
125,1,great place meal really liked korean charboiled chicken paris wing service pretty great well
126,1,lol love reading review like life story food great
127,1,food sooooo awesomeeee every time went bbq best cooked bbq special chicken
128,0,understand inform customer properly offer really unexpected brand like tell clearly offer pizza available saturday till notice truth different reach dhanmondi branch long busy traffic say easily offer ended without prior notice serve customer know important customer profit speechless saw review experienced guest also
129,0,environment nice food price terrible burger seems like hot bread
130,1,bpl grand final friday th december southern stand main price tk asking price tk shahid mushtaque main price tk asking price tk vip grand stand main price tk asking price tk hospitality box main price tk asking price tk n b ticket available hotline
131,1,love food keep korean charbroiled excellent
132,1,loved quality food bbq combination pizza amazing favourite raspberry smoothie
133,1,love ur pizza especially korean charbroiled pizza
134,0,bit overpriced compared taste also interior dhanmondi branch nothing special
135,1,one favorite place lunch value meal great
136,1,one word awesome
137,0,food ok robbed including item bill ordered receive went cashier paying told ordered say billed feeling dukkhito argument manager expecting something complimentary also feeling dukkhito said consider good service next time beggar beg money anything told stole money wrong live abroad matter whatever next time disappointed never come back bangaldesh
138,1,first food delicious also nice location understand charged much
139,0,dhanmondi branch worst quality food worst food quality customer service never horrible experience horrible experience incurred high price never visit
140,1,love place service food everything perfect
141,1,food amazing loved sitting arrangement got best mocha
142,0,food priced mark taste going charge much least improve cooking pasta runny
143,0,good
144,0,today awful experience bbq dhanmondi branch offering discount beverage liked frappe everytime went tonight last night even though called number verified store open denied serve u frappe ony providing u menue waiter taking come back found waiter manager solving dispute ano ther client called another younger waiter walking towards table waiter made stop literally stoped coming towards u took another min solve dispute waiter manager another chat like whispered year came tell cannot serve frappe said ran ingredient literally want make drink close closing time offer going cannot ran every single ingredient drink even though said want anything else international chain serving u denied u completely also mention went dhanmondi branch friday night pizza terrible nothing like gulshan branch pizza really really disappointed ignorant attitude doubt ever go back
145,1,good environment good food loving go ahead
146,0,soft drink vat expensive others
147,0,okay honest review went dhanmondi branch yesterday food okay nothing completely ordinary would completely alright item priced premium service absolutely horrible mean guy still business current lot waiter waiter literally tried force item u repeatedly insisting rudest manner annoyed expression ca waiter multiple time responded every time busy standing nearest tissue counter something absolutely nothing took minute get bill another return change music loud turn volume even requested please take note rude server even whole process considering fact dhanmondi branch relatively new outlet cutlery item used still relatively good condition spoon many scratch mark almost gave feeling provided used utensil older branch reflect class bbq bd claim boast good experience overall sure wanna go back anytime soon least p provide picture necessary
148,0,bbq bangladesh dhanmondi branch big disappointment menu card price item really differs price bill tried gulshan branch almost time loved complains time dhanmondi branch experience bad time dhanmondi branch serf completely different quality food bad quantity pane cream soup low taste chicken bad served cold second time went taste food average clearly remember ordered food costing around tk menu card korean charboiled chicken pc chicken piece jamaican chicken meal mashed potato cocacolas charged double bill around tk calculated would around tk tk vat service charge clear fraud might also inside fraud manager waiter authority must take consideration never going back bbq bangladesh faced problem also know people disappointed bbq bangladesh dhanmondi bill problem
149,0,ripping people basically please kindly take business seriously passionately management poor description item true word iftar platter terrible burger meat raw inside even though said grilled cheddar cheese given inside korean char boiled burger
150,0,today iftar food cold specially fried rice salad dry service person caring guest poor service management concern service
152,1,really yummy food impressive service
153,0,food taste price smiler food making cost cheap charging high volume price nothing smiler south koriean bbq branch deco bbq logo like original brand sorry happy quality
154,1,nice place food tasty food nd place tell everybody go
155,0,sorry worst food experience surely wont go ever peace
156,0,ordered golden olive value meal cudnt find anything valuable whatever combo contains pc golden olive chicken fried cajun wedge potato veg rice egg n salad first forgot using salt probably far know little knowledge olive chicken prepared using olive oil fry whole chicken n mixed spice neither found spice olive taste veg rice hardly got vegetable dried rice le quantity egg even egg taste much worse know forgot using salt also mentioned potato thing cud eat least overall experience worst dish cost including vat never hesitate spending quality taste satisfactory place irritating enough
157,0,ordered chicken pizza crust dough pancake terrible service going back urmil rehman
158,1,love place korean charbroiled chicken die lot time never disappointed last time served cold food even mushroom soup barely warm something wrong mashed potato usually yummy gulshan branch last two visit dhanmondi branch disappointed may chef getting recipe right anyway really hope guy bad day please make sure happen cold food acceptable look forward visit many time please ruin place thank
159,0,q
160,1,new luncheon item delicious great love much
161,0,food taste good inside gangjeong chicken spice veg fried rice average term taste quantity bad experience though service good place nice price high considering taste
162,1,love bbq food nice environment mouth watering food taste
163,1,much impressing
164,1,classy
165,0,wish give start combo pizza worst
166,0,interior khassi na food khassi pls give picture original food u served customer
167,1,first time today loved decor ambience food tasted great would definitely recommend friend family
168,1,best fried chicken ever tasted mind blowing need regularly
169,1,loving
170,1,undoubtedly place best chicken recipe town
171,1,gorgonzola shrimp pizza die would go back anyday
172,1,koraaa
173,1,korean charboiled thigh best thing earth
174,1,great place enjoy korean well jamaican bbq
175,1,bbq baste manu
176,0,terrible food place congested price high waste money
177,0,worst food ever n dat jamaican chicken oh dont know people r going hv lyk normal chicken could find test n dat mashrom soup yuukk ewwwuuu tested lyk sukna tosted burger er modhe dano r full cream yuukkk
178,1,offer letter website design development dear sir mam salam greeting much pleasure hereby take opportunity introduce organization lumextech solution ltd serving bangladesh computer council bcc comilla university victoria university many reputed organization dedicated skilled team offer professional hassle free software web development solution service competitive price providing excellent opportunity potentially increase business need software satisfaction guaranteed cater business need ensuring pleasant experience way web design development team consists talent skilled people capable designing developing premium quality website rich functionality website development project range simple html based website multifunctional web portal rich cm system also develop high quality web based application also develop e commerce portal provide e commerce service web design development kind company organization waiting reply sincerely looking forward towards long term beneficial business relationship welcome contact u convenience clarification let fix meeting show life work demo attached company profile herewith kind information wish continued success best regard zahidul islam executive officer lumextech solution ltd lake circus dholphin goli kalabagan dhaka cell personal
179,1,best teste ever good food quality
180,1,best taste best environment absolutely premium chicken
181,1,really great test eat fresh love bbq food awesome use go place loved wish bbq best
182,1,thanks almighty make member family
183,1,great service great food wow wow wow
184,1,quality food great ambiance visit thank
185,1,awesome delicious food good service great place sure loved korean char boiled chicken everything perfect except price bit expensive
186,1,loved hot n spicy chicken fry nice ambience hospitality rate one top restaurant dhaka
187,1,good step
188,1,brilliant
189,0,took min serve kid meal service bad
190,0,well food r bad thinking abt service make shudder could tarnish good development stakeholder may done
191,1,loved charboiled chicken wonderful
192,1,amazing food great service
193,1,good food
194,1,good food healthy one
195,1,really good place dinner jamaica korean chicken tested well combination pizza awesome love go
196,1,good food n excellent service
197,1,asad
198,1,simple word describe bbq bangladesh heritage fine dining delicacy
199,1,loved
200,1,tasty food really really good mashed potato make extraordinary tho
201,1,tuyet voi
202,1,delicious
203,1,real value money deal amazing food
204,1,tried shrimp gorgonzola pizza chicken cream pasta perfect burger fry next visit hope make personal top burger town list yes burgerholic
205,1,absolutely love food fresh tasty probably one best eat place dhaka moment
207,0,okay might bit late review hell first went bbq right opened friend ordered individual dish one friend ordered pasta didnt even bite full told waiter parcel told u didnt equipment moment rest u stuffed food couldnt even taste pasta take home end pay pasta even eating bite disappointing experience point view
208,1,awsum food
209,0,good vibe bt average food wont go dere go restaurant eat da food tasty
210,1,place bomb
211,1,superb
212,1,tonight wonderful dinner family bbq food testy
213,1,great place
214,1,jus cudnt stop giving star good place amazing food
215,0,came rush hour ordered people service horrible best got served ice cold food waited least min rubbish manager damn care lesson learnt never visit place see lot car parked outside
216,1,came back visit country year half first restaurant meal happy say quality good ever old favorite korean charbroiled chicken tasted like great experience always definitely coming back leave
217,1,wow chicken
218,1,super food great place
219,1,food awesome
220,1,best
221,1,found food hygienic environment location comfortable
222,1,fatafati awesome joss
223,1,f
224,1,yummyyyyyyyy
225,1,nice food
226,1,superb service
227,1,go everyday enough said lol
228,1,excellent food lousy service staff need better training seriously lack coordination edit come long way since bumpy beginning one favorite place eat staff lovely wish added variety menu though tried everything menu gazillion time already everything menu good pizza looking one amazing
229,1,great food good service cool place easily ranked one best bd
230,1,original bbq chicken honey mustard salad amazing taste environment great hat bbq
231,1,chicken salad awesome dessert could bettter best thing appreciated feed back dessert instantly everything set rite thanks brig gen manzur qader uncle one owner spend time u quick chat patiently listening review food menu definitely trying item soon
232,1,awesome food awesome service
233,1,best place
234,1,quite good superb decoration price little bit high food really good fresh special
235,1,good food value money
236,1,best food bangladesh
237,1,great love
238,1,decoration good enough service also good fast special thing food quality tasty yummy free wifi available excellent behavior serviceability
239,1,great food taste totally worth spending money pls checking highly recommend
240,1,place ta besi joss always jodi amn khabar serve kore inshallah success hobe
241,1,spicy interesting menu wonderful meal perfectly served waiter also filled wonderfull environment classy service service exactly time hot fresh food oh good perfect meal gorgeous interior nice place family gathering party arrangement party simply best place town
242,0,good photo food sell pad thai noodle menu written mixed chawmin acceptable mohammadpur resturent charge vat charge vat service tooo slow food taste mark according price recommended set menu taste bad finish
243,1,iftar family ifter menu good found nice place hangout family quality friend food quality also good neat clean cafe
244,1,good restaurant decoration tremendous door wonderful excellent quality food service reasonable price love place want visit time
245,1,nice experience spicy service excellent management personnel much conscious quality service menu also awesome u wanna suggestion u focus innovative delicious food item make ur restaurant different others take arrangement temporary roof open space day summer rainy season enjoy open environment
246,0,worst experience ever place well picture food quality horrible ordered spaghetti provided dish salty disgusting thing vomiting tasting wretched dish smell bad word worst ordering chicken fry observed also salty worthy eating service poor asked one changing dish one said lame place recommended
247,1,food good service slow nd time big thumb authority personally take charge make sure get food quickly
248,1,usually post comment place awesome also food delicious amazing stuff friendly service smooth thanks guy
249,1,one best set menu ever thai soup tasty spicy loved service behave good well behaved really love place food
250,1,excellent environment quality food awesome highly recommended
251,1,wonderful place awesome also food yammi delicious also maintain good quality also
252,1,reall food gd also nice place nice view love view
253,1,excellent quality food service reasonable price moreover environment nice think providing total value customer best wish team spicy
254,1,awsome environment wd testy food arrange party around people love da food n view stuff well mannered sha allah come n
255,1,really preety good place ever loving restuarant dish soooo tasty good staff loyal good
256,1,restaurant good interior awesome food good price reasonable quality good best wish business
257,1,restaurent good interior awesome food good price resonable quality good love
258,1,woww osam food quality love place also nice
259,0,food quality good price upgrade ur food quality first
260,1,excellent environment excellent decoration nd yummy food love tihs place want visit
261,1,foodie love quality food environment superb would love go
262,0,worst price high amount le taste salt le
263,1,awesome place
264,1,grate experience spicy excellent quality food n service love place
265,1,love explore food new environment simply loved embience food ofcourse satisfactory
266,1,back great experience love strawberry shake priority shake
267,1,nice
268,0,food quality average pricing ava rage management bulshit policy also environment wast much warmth ac fan outdoor
269,1,awesome food bestbservice nice decoration overall wonderful place enjoyment
270,1,u decorated place nicely food quality admirable
271,1,place food interior service good best spicy may allah bless
272,0,worst behaviour worst management system bad experienced ever
273,1,nice decoration nice environment good service food test awesome well behaved full trained love restaurant
274,1,place awesome loved decoration good
275,0,dirty toilet delay service ignorance customer care staff
276,1,amazing interior food good beautiful place spend good time
277,1,tell filling experience spicy word
278,1,food quality much healthy good loved
279,0,environment tik kora dorkar prochur gorom fan choto choto
280,1,nice
281,1,nice interior nice behaviour good food reasonable price
282,1,environment food service great
283,1,joss akta place nice decoration yummy food
285,1,good time good food amsome place beautiful decoration
286,1,best
287,1,filling real spice come n injoy
288,1,know really great coffee perfect coffee shop vibe
289,1,try homemade item cold coffee one kind
290,1,valo laglo choto space e homemmade pastry cake etc cold coffee ta exceptional
291,1,decent behave food much hygienic tasty
292,1,loved
293,1,good
294,1,end tha day
296,1,cold coffee khub e valo silo apnara try korta paran
299,1,well dosas know go right place yesterday went place whole family staff place awesome welcoming dosas tasty like hell amazing thing place price range literally type dosas tk overall loved go
300,1,dosa lazawab one best unique food concept ever seen old dhaka loved food limitation small place sat shared front sit moment think need compromising bcs everyone want test food dosa lazawab thats without hesitation freely enjoyed choiceable food sharing unknown person come dosa lazawab understand feeling customer like u
301,1,excellent taste food dosa taste best
302,1,well dosas know go right place yesterday went place whole family staff place awesome welcoming dosas tasty like hell amazing thing place price range literally type dosas tk overall loved go
303,1,dosa lazawab one best unique food concept ever seen old dhaka loved food limitation small place sat shared front sit moment think need compromising bcs everyone want test food dosa lazawab thats without hesitation freely enjoyed choiceable food sharing unknown person come dosa lazawab understand feeling customer like u
304,1,first great decor great hospitality reasonable price food absolutely mouth watering special thumb complimentary dish menu karahi curry chole vatore chees alu paratha mostly hyderabadi dosa best restaurant old dhaka ever seen want visit one word lazawab
305,1,frst time go wid frnds previous day awesome dosa wow nd much cheap anyone afford food nd try give tip deny take shocking thing coz anywhere ate always beside u tip dnt like others also satisfy behavior go nd time sha allah
306,1,authentic test indian food word mouthwatering food quality service great environment great would like suggest according huge costomer demand get bigger place soon thanks excellent service wish good luck dosa lazawab rock
307,1,excellent food food quality cheap price great place hangout fnf service good rating overall best service best food well
308,1,yesterdy wife eating dhoi fuchka special mix noodle fan food nice excellent food beautiful decoration service great also thanks
309,1,dosa lazawab best food shop old town food fresh delecious sooooo yummyyy
310,1,excellent food cheap price also food quality good love place
311,1,food tasteful nd good one best restaurant area
312,1,itz big place itz quality iz big love foodz go many time awesome good testy foodz serf
313,1,awesome environment food service good love chola bhature old dhaka best restaurant
314,0,place small also food mark
315,1,awesome place food taste quality good quicker service overall
316,1,love place n food good food good manner
317,1,awesome place food taste quality good quicker service overall
318,1,food item excellent cheap good place ta small decoration nice
319,1,best best best jst loved food hospitality
320,1,best ever old town everything good taste
321,1,taste real dosa age surely visit
322,1,excellent food beautiful decoration service great also
323,1,love food much good specially dosa
324,1,food really delicious need sitting space
325,1,good food reasonable price manage seating arrangement
326,1,kothay lazawab go get ur testy food
327,1,good food cheap price service good friendly loved
328,1,excellent food beautiful decoration service great also
329,1,excellent food n cool decoration dosa really lazawab
330,1,sometimes go dosa lazawab ur food item doi fuska good like doi fuska oh yummy
331,1,everything ok need spacious environment large volume people utilise
332,1,testy good item everything excellent
333,1,food really tasty specially taste chicken karahi curry awesome
334,1,superb test reasonable price
335,1,excellent food beautiful decoration good food yummy dosa
336,1,wow nice decoration delicious food liked behavior waiter love dosa lazawab
337,1,dosa really lazawab eating chicken karahi curry
338,1,good food cheap price
339,1,awesome
340,1,really lazawab
341,1,friendly place food awsome reasonable price
342,1,lovely space ta ektu boro hole valo hoto
343,1,decoration kub valo chilo space ta akut choto khabarer price onk onk onk reasonable taest onak valo
344,1,resonable price bosar space arektu barale vhalo hoy
345,1,love
347,1,lazawab
348,1,well food reasonable price service improved
349,1,good food itmes available
350,1,little one create page thinking trying best
351,1,yesterday bought pizza good recommended
352,1,special coffee enjoyed love spend moment cool place hangout nice interior design visit restaurant get discount item
353,1,today taco thai soup loved really good
354,1,quality quantity environment behaviour sob e ak kothay osadharon best luck mr taco cafe go ahead
355,1,quality quantity environment behaviour sob e ak kothay osadharon best luck mr taco cafe
356,1,nice environment enjoy evening food
357,1,ite nice place eonjoy difrent tast food ok
358,1,good quality food
359,0,rhkklkjpjhlffoihipihpouuoiupojpljjkkllkkbjilpknklkllllllljkklllkjiookjvhkjhjjjkjjkhjjjjkkjkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkllklkkkkllllllkkkkkkjkkkkkkkkklkkkkkkkkkkkkkklkkkkkkkkkkllllklllll
360,1,ai niye bar mr taaco te khelam khabar guli khubi majadar
361,1,nice place dine cool environment good disciplined staff extraordinary good service much tasty awesome yummy food come back soon many time
362,1,delicious food reasonable price service excellent course come loved obviously decoration restaurant awesome
363,0,worst service ever waiter act like know clue menu hydrabadi biriyani took away provide side mean seriously
364,1,really liked way communicate people really trust worthy hosting ceremony even food quality taste unimaginably amazing fully satisfied keep big like
365,0,poor food quality worst service ever food rotten also musty waiter late serve food fast take bill serving food wandering around u like finish leave restaurant bloody nonsense people cheap quality food though price high never ever go
366,1,best dhaka city
367,1,nice place dine cool environment well mannered staff extraordinarily good service importantly much tasty food
368,1,really nice tidy restaurant fantastic welcome drink food tasty love
369,1,overall food awesome ambience good
370,1,loved food assumption one best restaurant dhaka specially malibagh shantinagar area
371,1,food awesome loved food best hope provide quality food time
372,1,interior design decoration hospitality food quality obviously qualityfull service impressed much
373,0,worst food worst service price high curry house
374,1,food quality excellent service good well
375,1,service food really good must star rating
376,1,loved thai soup wonton taste really good
377,1,nice restaurant eat satisfaction team
378,1,chinese platter good much affordable liked interior also
379,0,worst food ever soup ta ato baaje chicken ta motamoti
380,1,food awesome
381,1,good hospitality especially mr munna extremely cordial food succulent
382,1,food testy yummmy chine item welcome drink awesome
383,1,love tht gujrati vegetable indian set menu well decoration specially wood made staris
386,1,food quality good
388,0,worst service worst food price high
389,1,tried chicken cheesy burger mirzafar burger chicken fry different occasion nothing negative say although tried burger joint dhaka easy say best come price taste affordable buy get free best deal
390,1,tried signature beef bacon burger absolutely amazing solid well cooked beef patty topped tender beef strip perfect balance cheese special sauce fresh lettuce tomato slice crisp bun made experience even better captain cook burger go burger place whenever go shimanto squire dhanmondhi please give try
391,1,great fast food place mean food great expensive classy burger menu like mr pounder mr alexander food serving time moderate even crowded liked asked water also gave glass water bottle think deserve star peace captain cook
392,1,captain cook dhaka amazing honestly good service unbelievable cheese chicken burger could die round good restaurant age one best restaurant could ever visit
393,1,comparing price double quarter pounder burger yuumy humble enough go table ask everything okay hungry budget want good bite burger place
394,1,captain cook special mr pounder beef great jalapeno garlic sauce patty great juicy enough make mess spicy enough make cry place nice hangout chill ambient sky view great price worth experience food
395,1,best burger town far relatively low price original fikamoli burger juicy cheesy top delighted good taste burger shimanto squire dhanmondhi thank captain cook
396,1,best burger town far relatively low price burger juicy cheesy top delighted good taste burger dhanmondhi
397,1,service fast polite every customer visted restaurant yestarday respected alot also give discount satisfied service burger delicious juicy would like suggest everyone visit restaurant
398,1,burger decently priced value money patty dry well marinated decent amount cheese overall great would really like try meal well thank captain cook
399,1,quality food service environment wear great best place pas quality time quality food visit place surely love
400,1,tried signature beef bacon burger sandwich say totally loved ambient environment good hangout great food
401,1,place recent favorite love mr mirjafar burger specially four time already staff behavior really good gonna visit thank captain cook restaurant
402,1,burger taste compare price price much low taste awesome burger lover go captaincook mralexanderburger mrmirjafarburger
403,1,except environment everything awesome mr alexander burger really best till tasted burger
404,1,must go place burger lover specially impressed mr pounder burger hot buffalo wing keep quality best captain cook
405,1,liked food quality tried bbq beef burger much tastier reknowned burger chain good luck future
406,1,great burger shop dhanmondi area wish captain cook best
407,1,mind blowing experience new comer mr mirjafar burger also make pure snicker shake today dedicated captain cook good job guy z
408,1,best burgar city mr mirjafar burger mind blowing price reasonble well thank captain cook dhaka
409,1,best student friendly burger restaurant dhanmondhi surprised burger lover back school campaign student amazing
410,1,captain cook one best restaurant dhaka city well decorated restaurant food taste different service behavior big asset
411,1,chicken cheese burger regular french fry love
412,1,food awsome behaviour good moreover nice place tummy happy
413,1,mr mirjafar mind blowing also kitkat shake make fresh love captain cook
414,1,first food environment awesome tried famous royal sudani burger snicker shake mind blowing test honestly love wish captain cook
415,1,always came shimanto squire love burger shop called captain cook
416,1,wow havvy tasty food excelent location captain cook famous resturent dhaka city
417,1,one best burger centric company bangladesh
418,1,good place hangout friend others
419,1,awsome people excellent service spend good time mine make relax
420,1,carry beginning quality maintain standard always best
421,1,excellent food reasonable price good luck future journey
422,1,honestly dhanmondhi got new burger jaiant hope keep good reputation
423,1,captain cook dhaka really awesome burger super tasty
424,1,wish captain cook best keep
425,1,good burger fry amazing burger like mr pounder mr mirjafar wow
426,1,wow service excellent love beautiful welplaced
427,1,new sensation delicious food wow
428,1,another burger heaven dhanmondhi
429,1,want listed captain cook top
430,1,burger restaurant nice
431,1,naga burger mind blowing
432,1,wow superv quality service quality product
433,1,great burger restaurant unique product line keep improving captain cook
434,1,think make good food
435,1,captain cook prove genius chef really awesome
436,1,best shimanto squire dhanmondhi service taste
437,1,best rooftop burger restaurant
438,1,best best
439,1,best one
440,1,best town
441,1,great
442,1,goood
443,1,goodness
444,1,well done
445,1,p p
449,1,day ago visited burger shop amazing
